地区,GDP（亿元）,增速(%),人均GDP（元）
广东,129.1186,1.9,10.1796
江苏,122.8756,2.8,14.4475
山东,87.4351,3.9,8.5973
浙江,77.7154,3.1,11.883
河南,61.3451,3.1,6.2071
四川,56.7498,2.9,6.7785
湖北,53.7349,4.3,9.217
福建,53.1099,4.7,12.6845
湖南,48.6704,4.5,7.3498
安徽,45.045,3.5,7.3687
上海,44.6528,-0.2,17.9401
河北,42.3704,3.8,5.6888
北京,41.611,0.7,19.0091
陕西,32.7727,4.3,8.2885
江西,32.0747,4.7,7.1009
重庆,29.129,2.6,9.0688
辽宁,28.9751,2.1,6.8515
云南,28.9542,4.3,6.1736
广西,26.3009,2.9,5.2215
山西,25.6426,4.4,7.3686
内蒙古,23.1587,4.2,9.6496
贵州,20.1646,1.2,5.2348
新疆,17.7413,3.2,6.8526
天津,16.3113,1,11.8801
黑龙江,15.901,2.7,5.0883
吉林,13.0702,-1.9,5.5033
甘肃,11.2016,4.5,4.4986
海南,6.8182,0.2,6.6845
宁夏,5.0696,4,6.9925
青海,3.6101,2.3,6.0776
西藏,2.1326,1.1,5.8269
